epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,640.044,1.10683,0.90447,0.99274,0.34895,0.00332588,0.00332588,0.00332588
2,1285.24,0.40686,0.92346,0.99441,0.2423,0.00652736,0.00652736,0.00652736
3,1925.74,0.32254,0.92514,0.99441,0.2545,0.00959684,0.00959684,0.00959684
4,2569.49,0.30965,0.91676,0.99497,0.25628,0.009406,0.009406,0.009406
5,3212.25,0.2364,0.93128,0.99441,0.21401,0.009208,0.009208,0.009208
6,3849.45,0.20527,0.93966,0.99497,0.20535,0.00901,0.00901,0.00901
7,4490.67,0.16562,0.94413,0.99609,0.19545,0.008812,0.008812,0.008812
8,5106.1,0.15258,0.94916,0.99665,0.18875,0.008614,0.008614,0.008614
9,5717.57,0.14069,0.95363,0.99888,0.20342,0.008416,0.008416,0.008416
10,6323.9,0.12835,0.94693,0.99721,0.18429,0.008218,0.008218,0.008218
11,6924.86,0.12915,0.94134,0.99777,0.18684,0.00802,0.00802,0.00802
12,7530.27,0.11668,0.94246,0.99888,0.20672,0.007822,0.007822,0.007822
13,8134.52,0.10591,0.95028,0.99721,0.19176,0.007624,0.007624,0.007624
14,8721.5,0.09685,0.95028,0.99777,0.16835,0.007426,0.007426,0.007426
15,9312.1,0.1003,0.95084,0.99777,0.18277,0.007228,0.007228,0.007228
16,9902.28,0.09402,0.9486,0.99777,0.1879,0.00703,0.00703,0.00703
17,10489.1,0.07213,0.9581,0.99944,0.16782,0.006832,0.006832,0.006832
18,11078.3,0.06972,0.95642,0.99665,0.18424,0.006634,0.006634,0.006634
19,11668.6,0.06807,0.96201,0.99777,0.1665,0.006436,0.006436,0.006436
20,12251.6,0.07334,0.95978,0.99777,0.1692,0.006238,0.006238,0.006238
21,12840.9,0.06768,0.9648,0.99665,0.16533,0.00604,0.00604,0.00604
22,13432.1,0.06464,0.95363,0.99888,0.17636,0.005842,0.005842,0.005842
23,14026,0.05278,0.95866,0.99888,0.15488,0.005644,0.005644,0.005644
24,14616.6,0.05884,0.96089,0.99944,0.15672,0.005446,0.005446,0.005446
25,15208.6,0.05103,0.96201,1,0.15021,0.005248,0.005248,0.005248
26,15800.6,0.04611,0.96536,0.99888,0.15092,0.00505,0.00505,0.00505
27,16388.6,0.0492,0.96257,0.99832,0.15744,0.004852,0.004852,0.004852
28,16981.1,0.04073,0.96201,0.99832,0.16165,0.004654,0.004654,0.004654
29,17576.3,0.04286,0.96201,0.99888,0.15672,0.004456,0.004456,0.004456
30,18187.6,0.03858,0.96536,0.99944,0.15519,0.004258,0.004258,0.004258
31,18786.1,0.04124,0.9648,1,0.1445,0.00406,0.00406,0.00406
32,19381.8,0.04333,0.96201,0.99832,0.16303,0.003862,0.003862,0.003862
33,19973.8,0.03356,0.96648,0.99777,0.16355,0.003664,0.003664,0.003664
34,20568.4,0.03419,0.96816,1,0.15531,0.003466,0.003466,0.003466
35,21166.5,0.032,0.96369,1,0.15479,0.003268,0.003268,0.003268
36,21761.4,0.02854,0.96704,1,0.14422,0.00307,0.00307,0.00307
37,22353.5,0.02905,0.96536,1,0.14653,0.002872,0.002872,0.002872
38,22943.7,0.02798,0.96648,1,0.14769,0.002674,0.002674,0.002674
39,23536.2,0.02702,0.9676,1,0.14268,0.002476,0.002476,0.002476
40,24127.1,0.02352,0.96592,1,0.14748,0.002278,0.002278,0.002278
41,24722.9,0.02143,0.96425,1,0.14647,0.00208,0.00208,0.00208
42,25311.2,0.02429,0.9676,1,0.14006,0.001882,0.001882,0.001882
43,25903.6,0.02213,0.96872,1,0.13987,0.001684,0.001684,0.001684
44,26492.7,0.0218,0.9676,1,0.13733,0.001486,0.001486,0.001486
45,27081.2,0.02034,0.96872,1,0.13263,0.001288,0.001288,0.001288
46,27674.8,0.02078,0.96927,1,0.13053,0.00109,0.00109,0.00109
47,28269.9,0.01939,0.96872,1,0.13111,0.000892,0.000892,0.000892
48,28861.8,0.01702,0.96927,1,0.13087,0.000694,0.000694,0.000694
49,29447.9,0.02106,0.96983,1,0.13097,0.000496,0.000496,0.000496
50,30047.7,0.01845,0.97039,1,0.12926,0.000298,0.000298,0.000298
